,三种录音模式,同传听译,面对面翻译,通话翻译,离线翻译,优先级,,,,,,,,,,,,,
中文,有,有,有,有,有,P0,,,,,,,,,,,,,
英语,有,有,有,有,有,P0,,,,,,,,,,,,,
日语,有,有,有,有,无,P1,,,,,,,,,,,,,
俄语,有,有,有,有,无,P1,,,,,,,,,,,,,
韩语,有,有,有,有,无,P2,,,,,,,,,,,,,
越南语,有,有,有,有,无,P2,,,,,,,,,,,,,
泰语,有,有,有,有,无,P2,,,,,,,,,,,,,
西班牙语,有,有,有,有,无,P2,,,,,,,,,,,,,
法语,有,有,有,有,无,P3,,,,,,,,,,,,,
阿拉伯语,有,有,有,有,无,P3,,,,,,,,,,,,,
粤语,有,有,有,有,无,P3,,,,,,,,,,,,,
德语,有,有,有,有,无,P3,,,,,,,,,,,,,
印尼语,有,有,有,有,无,P3,,,,,,,,,,,,,
意大利语,有,有,有,有,无,P4,,,,,,,,,,,,,
葡萄牙语,有,有,有,有,无,P4,,,,,,,,,,,,,
保加利亚语,有,有,有,有,无,P4,,,,,,,,,,,,,
波兰语,有,有,有,有,无,P4,,,,,,,,,,,,,
波斯语,有,有,有,有,无,P4,,,,,,,,,,,,,
菲律宾语,有,有,有,有,无,P4,,,,,,,,,,,,,
荷兰语,有,有,有,有,无,P4,,,,,,,,,,,,,
捷克语,有,有,有,有,无,P4,,,,,,,,,,,,,
罗马尼亚语,有,有,有,有,无,P4,,,,,,,,,,,,,
马来西亚语,有,有,有,有,无,P4,,,,,,,,,,,,,
孟加拉语,有,有,有,有,无,P4,,,,,,,,,,,,,
瑞典语,有,有,有,有,无,P4,,,,,,,,,,,,,
斯瓦西里语,有,有,有,有,无,P4,,,,,,,,,,,,,
泰米尔语,有,有,有,有,无,P4,,,,,,,,,,,,,
土耳其语,有,有,有,有,无,P4,,,,,,,,,,,,,
乌尔都语,有,有,有,有,无,P4,,,,,,,,,,,,,
乌克兰语,有,有,有,有,无,P4,,,,,,,,,,,,,
乌兹别克语,有,有,有,有,无,P4,,,,,,,,,,,,,
希腊语,有,有,有,有,无,P4,,,,,,,,,,,,,
印地语,有,有,有,有,无,P4,,,,,,,,,,,,,
河南话,有,无,无,无,无,P4,,,,,,,,,,,,,
河北话,有,无,无,无,无,P4,,,,,,,,,,,,,
四川话,有,无,无,无,无,P4,,,,,,,,,,,,,
云南话,有,无,无,无,无,P4,,,,,,,,,,,,,
贵州话,有,无,无,无,无,P4,,,,,,,,,,,,,
重庆话,有,无,无,无,无,P4,,,,,,,,,,,,,
天津话,有,无,无,无,无,P4,,,,,,,,,,,,,
东北话,有,无,无,无,无,P4,,,,,,,,,,,,,
甘肃话,有,无,无,无,无,P4,,,,,,,,,,,,,
山东话,有,无,无,无,无,P4,,,,,,,,,,,,,
太原话,有,无,无,无,无,P4,,,,,,,,,,,,,
藏语,有,有,无,有,无,P4,,,,,,,,,,,,,
维吾尔语,有,有,无,有,无,P4,,,,,,,,,,,,,
总计,"32个语种
12个方言
2个民族语言","32个语种
粤语
2个民族语言","32个语种
粤语","32个语种
粤语
2个民族语言",,,,,,,,,,,,,,,
